array,Specialized Lazy Monotonic Coercions,0.92
array,Specialized Lazy Proxied Coercions,1.01
blackscholes,Specialized Lazy Proxied Coercions,1.03
blackscholes,Specialized Lazy Monotonic Coercions,1.04
fft,Specialized Lazy Proxied Coercions,0.49
fft,Specialized Lazy Monotonic Coercions,0.53
matmult,Specialized Lazy Proxied Coercions,0.69
matmult,Specialized Lazy Monotonic Coercions,1.19
n_body,Specialized Lazy Proxied Coercions,0.26
n_body,Specialized Lazy Monotonic Coercions,0.34
quicksort,Specialized Lazy Proxied Coercions,0.00
quicksort,Specialized Lazy Monotonic Coercions,0.01
ray,Specialized Lazy Proxied Coercions,0.10
ray,Specialized Lazy Monotonic Coercions,0.10
sieve,Specialized Lazy Monotonic Coercions,0.20
sieve,Specialized Lazy Proxied Coercions,0.20
tak,Specialized Lazy Monotonic Coercions,0.78
tak,Specialized Lazy Proxied Coercions,0.78
